id,job_title,location,connection,fit
1,2019 c.t . bauer colleg busi graduat ( magna cum laud ) aspir human resourc profession,"Houston, Texas",85,
2,nativ english teacher epik ( english program korea ),Kanada,500+ ,
3,aspir human resourc profession,"Raleigh-Durham, North Carolina Area",44,
4,peopl develop coordin ryan,"Denton, Texas",500+ ,
5,advisori board member celal bayar univers,"İzmir, Türkiye",500+ ,
6,aspir human resourc specialist,Greater New York City Area,1,
7,student humber colleg aspir human resourc generalist,Kanada,61,
8,human resourc senior specialist,San Francisco Bay Area,500+ ,
9,student humber colleg aspir human resourc generalist,Kanada,61,
10,seek human resourc human resourc inform system generalist posit,Greater Philadelphia Area,500+ ,
11,student chapman univers,"Lake Forest, California",2,
12,"senior vice presid , chief human resourc offic , market & commun , corpor social respons offic | engi | houston | woodland | energi | global profession human resourc | senior profession human resourc","Houston, Texas Area",500+ ,
13,human resourc coordin intercontinent buckhead atlanta,"Atlanta, Georgia",500+ ,
14,2019 c.t . bauer colleg busi graduat ( magna cum laud ) aspir human resourc profession,"Houston, Texas",85,
15,2019 c.t . bauer colleg busi graduat ( magna cum laud ) aspir human resourc profession,"Houston, Texas",85,
16,nativ english teacher epik ( english program korea ),Kanada,500+ ,
17,aspir human resourc profession,"Raleigh-Durham, North Carolina Area",44,
18,peopl develop coordin ryan,"Denton, Texas",500+ ,
19,2019 c.t . bauer colleg busi graduat ( magna cum laud ) aspir human resourc profession,"Houston, Texas",85,
20,nativ english teacher epik ( english program korea ),Kanada,500+ ,
21,aspir human resourc profession,"Raleigh-Durham, North Carolina Area",44,
22,peopl develop coordin ryan,"Denton, Texas",500+ ,
23,advisori board member celal bayar univers,"İzmir, Türkiye",500+ ,
24,aspir human resourc specialist,Greater New York City Area,1,
25,student humber colleg aspir human resourc generalist,Kanada,61,
26,human resourc senior specialist,San Francisco Bay Area,500+ ,
27,aspir human resourc manag student seek internship,"Houston, Texas Area",500+ ,
28,seek human resourc opportun,"Chicago, Illinois",390,
29,aspir human resourc manag student seek internship,"Houston, Texas Area",500+ ,
30,seek human resourc opportun,"Chicago, Illinois",390,
31,2019 c.t . bauer colleg busi graduat ( magna cum laud ) aspir human resourc profession,"Houston, Texas",85,
32,nativ english teacher epik ( english program korea ),Kanada,500+ ,
33,aspir human resourc profession,"Raleigh-Durham, North Carolina Area",44,
34,peopl develop coordin ryan,"Denton, Texas",500+ ,
35,advisori board member celal bayar univers,"İzmir, Türkiye",500+ ,
36,aspir human resourc specialist,Greater New York City Area,1,
37,student humber colleg aspir human resourc generalist,Kanada,61,
38,human resourc senior specialist,San Francisco Bay Area,500+ ,
39,student humber colleg aspir human resourc generalist,Kanada,61,
40,seek human resourc human resourc inform system generalist posit,Greater Philadelphia Area,500+ ,
41,student chapman univers,"Lake Forest, California",2,
42,"senior vice presid , chief human resourc offic , market & commun , corpor social respons offic | engi | houston | woodland | energi | global profession human resourc | senior profession human resourc","Houston, Texas Area",500+ ,
43,human resourc coordin intercontinent buckhead atlanta,"Atlanta, Georgia",500+ ,
