id,job_title,location,connection,fit
1,2019 c.t. bauer college of business graduate (magna cum laude) and aspiring human resources professional,"Houston, Texas",85,
2,native english teacher at epik (english program in korea),Kanada,500+ ,
3,aspiring human resources professional,"Raleigh-Durham, North Carolina Area",44,
4,people development coordinator at ryan,"Denton, Texas",500+ ,
5,advisory board member at celal bayar university,"İzmir, Türkiye",500+ ,
6,aspiring human resources specialist,Greater New York City Area,1,
7,student at humber college and aspiring human resources generalist,Kanada,61,
8,hr senior specialist,San Francisco Bay Area,500+ ,
9,student at humber college and aspiring human resources generalist,Kanada,61,
10,seeking human resources hris and generalist positions,Greater Philadelphia Area,500+ ,
11,student at chapman university,"Lake Forest, California",2,
12,"svp, chro, marketing & communications, csr officer | engie | houston | the woodlands | energy | gphr | sphr","Houston, Texas Area",500+ ,
13,human resources coordinator at intercontinental buckhead atlanta,"Atlanta, Georgia",500+ ,
14,2019 c.t. bauer college of business graduate (magna cum laude) and aspiring human resources professional,"Houston, Texas",85,
15,2019 c.t. bauer college of business graduate (magna cum laude) and aspiring human resources professional,"Houston, Texas",85,
16,native english teacher at epik (english program in korea),Kanada,500+ ,
17,aspiring human resources professional,"Raleigh-Durham, North Carolina Area",44,
18,people development coordinator at ryan,"Denton, Texas",500+ ,
19,2019 c.t. bauer college of business graduate (magna cum laude) and aspiring human resources professional,"Houston, Texas",85,
20,native english teacher at epik (english program in korea),Kanada,500+ ,
21,aspiring human resources professional,"Raleigh-Durham, North Carolina Area",44,
22,people development coordinator at ryan,"Denton, Texas",500+ ,
23,advisory board member at celal bayar university,"İzmir, Türkiye",500+ ,
24,aspiring human resources specialist,Greater New York City Area,1,
25,student at humber college and aspiring human resources generalist,Kanada,61,
26,hr senior specialist,San Francisco Bay Area,500+ ,
27,aspiring human resources management student seeking an internship,"Houston, Texas Area",500+ ,
28,seeking human resources opportunities,"Chicago, Illinois",390,
29,aspiring human resources management student seeking an internship,"Houston, Texas Area",500+ ,
30,seeking human resources opportunities,"Chicago, Illinois",390,
31,2019 c.t. bauer college of business graduate (magna cum laude) and aspiring human resources professional,"Houston, Texas",85,
32,native english teacher at epik (english program in korea),Kanada,500+ ,
33,aspiring human resources professional,"Raleigh-Durham, North Carolina Area",44,
34,people development coordinator at ryan,"Denton, Texas",500+ ,
35,advisory board member at celal bayar university,"İzmir, Türkiye",500+ ,
36,aspiring human resources specialist,Greater New York City Area,1,
37,student at humber college and aspiring human resources generalist,Kanada,61,
38,hr senior specialist,San Francisco Bay Area,500+ ,
39,student at humber college and aspiring human resources generalist,Kanada,61,
40,seeking human resources hris and generalist positions,Greater Philadelphia Area,500+ ,
41,student at chapman university,"Lake Forest, California",2,
42,"svp, chro, marketing & communications, csr officer | engie | houston | the woodlands | energy | gphr | sphr","Houston, Texas Area",500+ ,
43,human resources coordinator at intercontinental buckhead atlanta,"Atlanta, Georgia",500+ ,
44,2019 c.t. bauer college of business graduate (magna cum laude) and aspiring human resources professional,"Houston, Texas",85,
45,native english teacher at epik (english program in korea),Kanada,500+ ,
46,aspiring human resources professional,"Raleigh-Durham, North Carolina Area",44,
47,people development coordinator at ryan,"Denton, Texas",500+ ,
48,advisory board member at celal bayar university,"İzmir, Türkiye",500+ ,
49,aspiring human resources specialist,Greater New York City Area,1,
50,student at humber college and aspiring human resources generalist,Kanada,61,
51,hr senior specialist,San Francisco Bay Area,500+ ,
52,student at humber college and aspiring human resources generalist,Kanada,61,
53,seeking human resources hris and generalist positions,Greater Philadelphia Area,500+ ,
54,student at chapman university,"Lake Forest, California",2,
55,"svp, chro, marketing & communications, csr officer | engie | houston | the woodlands | energy | gphr | sphr","Houston, Texas Area",500+ ,
56,human resources coordinator at intercontinental buckhead atlanta,"Atlanta, Georgia",500+ ,
57,2019 c.t. bauer college of business graduate (magna cum laude) and aspiring human resources professional,"Houston, Texas",85,
58,aspiring human resources professional,"Raleigh-Durham, North Carolina Area",44,
59,people development coordinator at ryan,"Denton, Texas",500+ ,
60,aspiring human resources specialist,Greater New York City Area,1,
61,hr senior specialist,San Francisco Bay Area,500+ ,
62,seeking human resources hris and generalist positions,Greater Philadelphia Area,500+ ,
63,student at chapman university,"Lake Forest, California",2,
64,"svp, chro, marketing & communications, csr officer | engie | houston | the woodlands | energy | gphr | sphr","Houston, Texas Area",500+ ,
65,human resources coordinator at intercontinental buckhead atlanta,"Atlanta, Georgia",500+ ,
66,experienced retail manager and aspiring human resources professional,"Austin, Texas Area",57,
67,"human resources, staffing and recruiting professional","Jackson, Mississippi Area",500+ ,
68,human resources specialist at luxottica,Greater New York City Area,500+ ,
69,"director of human resources north america, groupe beneteau","Greater Grand Rapids, Michigan Area",500+ ,
70,"retired army national guard recruiter, office manager, seeking a position in human resources.","Virginia Beach, Virginia",82,
71,"human resources generalist at scottmadden, inc.","Raleigh-Durham, North Carolina Area",500+ ,
72,business management major and aspiring human resources manager,"Monroe, Louisiana Area",5,
73,"aspiring human resources manager, seeking internship in human resources.","Houston, Texas Area",7,
74,human resources professional,Greater Boston Area,16,
75,"nortia staffing is seeking human resources, payroll & administrative professionals!! (408) 709-2621","San Jose, California",500+ ,
76,aspiring human resources professional | passionate about helping to create an inclusive and engaging work environment,"New York, New York",212,
77,human resources| conflict management| policies & procedures|talent management|benefits & compensation,Dallas/Fort Worth Area,409,
78,human resources generalist at schwan's,Amerika Birleşik Devletleri,500+ ,
79,liberal arts major. aspiring human resources analyst.,"Baton Rouge, Louisiana Area",7,
80,junior mes engineer| information systems,"Myrtle Beach, South Carolina Area",52,
81,senior human resources business partner at heil environmental,"Chattanooga, Tennessee Area",455,
82,aspiring human resources professional | an energetic and team-focused leader,"Austin, Texas Area",174,
83,hr manager at endemol shine north america,"Los Angeles, California",268,
84,human resources professional for the world leader in gis software,"Highland, California",50,
85,rrp brand portfolio executive at jti (japan tobacco international),Greater Philadelphia Area,500+ ,
86,information systems specialist and programmer with a love for data and organization.,"Gaithersburg, Maryland",4,
87,bachelor of science in biology from victoria university of wellington,"Baltimore, Maryland",40,
88,human resources management major,"Milpitas, California",18,
89,director human resources at ey,Greater Atlanta Area,349,
90,undergraduate research assistant at styczynski lab,Greater Atlanta Area,155,
91,lead official at western illinois university,Greater Chicago Area,39,
92,seeking employment opportunities within customer service or patient care,"Torrance, California",64,
93,admissions representative at community medical center long beach,"Long Beach, California",9,
94,seeking human resources opportunities. open to travel and relocation.,Amerika Birleşik Devletleri,415,
95,student at westfield state university,"Bridgewater, Massachusetts",57,
96,student at indiana university kokomo - business management - retail manager at delphi hardware and paint,"Lafayette, Indiana",19,
97,aspiring human resources professional,"Kokomo, Indiana Area",71,
98,student,"Houston, Texas Area",4,
99,seeking human resources position,"Las Vegas, Nevada Area",48,
100,aspiring human resources manager | graduating may 2020 | seeking an entry-level human resources position in st. louis,"Cape Girardeau, Missouri",103,
101,human resources generalist at loparex,"Raleigh-Durham, North Carolina Area",500+ ,
102,business intelligence and analytics at travelers,Greater New York City Area,49,
103,always set them up for success,Greater Los Angeles Area,500+ ,
104,director of administration at excellence logging,"Katy, Texas",500+ ,
